prompt,completion
Given chess position: rQ4nr/pp4p1/2p1k2p/3pp1q1/4Pp2/P1P2K1P/1B1P1PP1/bN3BNR w - - 2 14. What special moves are available? Answer:,none
Given chess position: r1b1k1n1/pp2p1br/n4Pp1/1q1p3p/3P4/pPP4N/P2KPP1P/R1B2B1R w q - 2 14. Is the move f1g2 legal? Answer:,legal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rnbk2nr/p2p2Qp/1ppqp3/8/3P1p2/2P1PP1P/PbK1N1P1/RNB2B1R w - - 2 12. What special moves are available? Answer:,none
Given chess position: rnbqkbnr/1p1p2pp/p7/4pp2/2p2PP1/N2P3N/PPPQP2P/R1B1KB1R b KQkq - 1 6. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnq1kr2/2p1ppbp/p3b3/1p1p2p1/1P2P2n/P1PP1P1P/1B4PR/RNQK1BN1 w q - 2 15. What special moves are available? Answer:,castling
Given chess position: r1b1kbnr/p2pp2p/3q1n2/1ppP1pBp/4PP2/P6P/1PP3P1/RN1BNRK1 b kq - 0 13. What special moves are available? Answer:,castling
Given chess position: rnkq3r/2p1ppbp/3p2pn/pp1P1b2/1P6/N1P4P/P1Q1PPP1/R1B1KBNR b KQ - 4 10. Is the move a1h8 legal? Answer:,illegal
Given chess position: 1r2kbnr/2Qbpppp/p1n5/3p1PB1/2p5/P1P5/1P2PKPP/RN3BNR w k - 0 13. Is the move a1h8 legal? Answer:,illegal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnb1k2r/1pqp1ppp/2p2n2/p1bBp3/4PP2/2P5/PP1PN1PP/RNBQK2R w KQkq - 1 7. What special moves are available? Answer:,castling
Given chess position: rnb3nr/p2q1k2/1p1ppppp/2p4Q/1b1PP3/4K1PP/1PP2P1R/RNB2BN1 w - - 5 13. What special moves are available? Answer:,none
Given chess position: r1b1k1n1/p3ppbr/2p1N1pp/1P2p3/PQ6/6PB/1P1PK2P/RNB4R b q - 0 15. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rn1q1b1r/pbpkpppp/1p3n2/3p2N1/P7/2P5/1PQPPPPP/RNB1KB1R w KQ - 4 6. Is the move a1h8 legal? Answer:,illegal
Given chess position: rn1qkb1r/p3pppp/3pb2n/1pp3P1/1P5P/4PP2/P1PP4/RNBQKBNR w KQkq - 0 7. What special moves are available? Answer:,"castling, en passant"
Given chess position: r1bk1b1r/3pq1pp/n6n/1ppB4/4Pp2/NQ3NPP/PP1P1P2/1RB1K2R w K - 4 14. Is the move a1h8 legal? Answer:,illegal
Given chess position: r3kbnr/p3pp1p/6p1/1p1p1b2/Pn4qP/2PP1PB1/RP2PKP1/1Q3BNR b kq - 6 13. What special moves are available? Answer:,castling
Given chess position: rnbq1bnr/pp1k4/2pp1pp1/1N2p2p/2P1P2P/4KPP1/PPQP4/R1B2BNR w - - 4 11. What special moves are available? Answer:,none
Given chess position: r1b1kb1r/3p1p1p/p1n3Qn/qBp1p1P1/N7/4P3/PPPPKPP1/R1B2R2 w k - 0 15. What special moves are available? Answer:,castling
Given chess position: rn1qkbnr/p1p1p1B1/8/1p6/2pPQp2/1P3b2/P3P1PP/RN2KBNR b KQkq - 0 9. Is the move a1h8 legal? Answer:,illegal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1b1k1nr/p1pn1ppp/3b4/Pp1ppq2/R4P2/6P1/1PPPP2P/1NBQKBNR w Kkq - 3 8. What special moves are available? Answer:,castling
Given chess position: 1r4nr/ppQp1kpp/4p3/2bN1p2/1PP5/7P/P2PPPq1/1RBK1BNR b - - 1 15. Is the move c5d6 legal? Answer:,legal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r1bk1bnr/pp5p/n3pp2/2pp1Pp1/1q1N2PP/1PNP4/P1P1P3/R1BQKB1R b KQ - 0 10. What special moves are available? Answer:,castling
Given chess position: rn2kb1r/1bp1qp1p/p3p1pn/1pPp4/N7/P2P1PP1/1P2P2P/R1BQKBNR w KQkq - 1 9. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnq1kbr1/p2ppp1p/b6P/1p4p1/4PPQ1/Pp6/2PPN1P1/RNBK1nR1 w q - 2 15. What special moves are available? Answer:,castling
Given chess position: r2q1bnr/pb1pk1pp/2n4B/1Np1pp2/4P3/P2P2P1/1PP2P1P/R2QKBNR b KQ - 0 8. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1b1kbnr/p1pq2p1/1p1pp3/5pNp/1n1P4/2PQ2P1/P3PP1P/R1B1KBNR w KQkq - 2 11. Is the move e1d1 legal? Answer:,legal
Given chess position: r1b1k1r1/p1pq2pp/2n1pp2/1p4b1/1P3PP1/P1P1P2B/3PNK1P/R1BQ3R b q - 0 12. What special moves are available? Answer:,castling
Given chess position: rnq1kbr1/2pppppp/b7/pp2n3/1PP5/B5P1/P2PNP1P/RN1QKBR1 w Qq - 0 9. Is the move a1h8 legal? Answer:,illegal
Given chess position: r2qk1n1/ppp1p1r1/n1p2p1b/3P2Pp/2P5/5P1b/PP1BPKP1/RN2QB1R b - - 5 14. What special moves are available? Answer:,none
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnbqkb1r/p1ppp2p/1p3np1/3P4/N4p2/4BN2/PPP1PPPP/R2QKB1R b KQkq - 0 6. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1b1k1nr/pp2p2p/2n4q/2pp2p1/6R1/b1PPP2P/P3NP2/R1BQKB2 w kq - 1 16. Is the move g4h4 legal? Answer:,legal
Given chess position: r1bqkbr1/2pp2pp/1p5P/n3pp2/pP2nP2/P3PN1R/2PPB1P1/RNBQK3 w Qq - 1 11. What special moves are available? Answer:,castling
Given chess position: r1bqk2r/pppp3p/n4pp1/3npP2/Q7/P1P1bN1P/1P1PP1P1/RNB1KB1R w KQkq - 5 11. Is the move f3g1 legal? Answer:,legal
Given chess position: 1rbq2nr/1ppppk1p/p4p1b/2n3p1/6PP/1PNPB2R/P1P1PP2/R2QKBN1 b Q - 3 9. Is the move f6f5 legal? Answer:,legal
Given chess position: rnb1kb2/3p1ppr/pp5p/P1p1p2q/R1PN1P2/1P5P/2QP1P1R/1NB1KB2 w q - 1 14. Is the move h2h1 legal? Answer:,legal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 2bB1b2/1p1k1p1r/rqn1p2p/p1p1P1p1/8/1PNP4/P1P1KPPP/R2Q1BNR w - - 3 16. Is the move h2h3 legal? Answer:,legal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 3q1bnr/p1p1k1p1/nr1ppp1p/1p1bP1B1/3P4/1PP2P1P/P5P1/RN1QK2R b KQ - 0 14. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rn2kbnr/pp2pp2/2P5/3pq1pp/4P3/5PPb/P1PP3P/RNBQKBNR b KQkq - 2 8. Is the move a1h8 legal? Answer:,illegal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1bqkbnr/ppp4p/6p1/1PnpppB1/P2PP3/8/2P2PPP/RN1QKBNR w KQkq - 1 8. Is the move d1c1 legal? Answer:,legal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnb1k1nr/1Q1p1pp1/p1pb4/2P1p1qp/8/P6N/1PKPPPPP/RNB2B1R b kq - 2 8. Is the move a1h8 legal? Answer:,illegal
Given chess position: rn1kqbnr/5p1p/p1p3p1/1p2pN2/2PPpP2/PQ5P/1P2P1BP/R1B1K2R b KQ - 1 14. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnb1kbnr/p4ppp/1pp5/2Rpp3/1P4Pq/3P4/P1P1PP2/RNBQKBN1 w Qkq - 0 8. Is the move g1f3 legal? Answer:,legal
Given chess position: rn2kbnr/1b3pp1/p7/qpp1p2p/P3p3/2PP1PP1/RPQK3P/1NB2BNR b kq - 1 10. What special moves are available? Answer:,castling
Given chess position: 2bqkb1r/2pppp2/r5pp/pp2Pn2/P1P5/1P2P2P/4B1P1/RNBQK1NR b KQk - 0 12. What special moves are available? Answer:,"castling, en passant"
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r1bqkb1r/7p/1p3np1/p1ppBp1P/1n6/P1NP1PPR/1PP1P1B1/R2QK1N1 b Qkq - 0 14. Is the move a8b8 legal? Answer:,legal
Given chess position: r1b1qbnr/ppppp1kp/2n5/5p2/P1P4p/3KPP1R/1P1PN1P1/RNBQ1B2 b - - 2 10. What special moves are available? Answer:,none
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnb1k3/3qBpbr/1p4pp/p6n/1PpP2P1/NRP4P/P3PP2/2Q1KBNR w Kq - 2 13. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1bq1b1r/n1ppkppQ/1p3n2/2P1p3/3P1P1p/1pN4P/P3P1P1/R1B1KBNR b KQ - 0 13. Is the move g7g5 legal? Answer:,legal
Given chess position: r1bqkbr1/2pp1ppp/1p2p3/1n1Q1P2/p7/1P2K1PP/4P3/R1B2BNR b q - 0 15. Is the move d7d6 legal? Answer:,legal
Given chess position: r1bqkb2/pp1pppp1/2n2n1r/2p4p/1P1PP2P/8/P1P2PP1/RN1QKBNR w KQq - 0 7. Is the move f2f3 legal? Answer:,legal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 1rbqkbn1/p1pppp1r/2n3p1/7p/1p1P4/1PP1B2P/P3PPPN/RN1QKB1R b KQ - 1 10. What special moves are available? Answer:,castling
Given chess position: r1b1kbn1/pp1pppp1/1q6/2p1n2p/P1P1RP1P/3P4/4P1P1/RNBQKBN1 w Qq - 1 11. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnb3n1/p2p1k2/2pbpp1r/1p3PNp/4P3/BPq5/PNPP2PP/1R1QKB1R b - - 0 14. What special moves are available? Answer:,none
Given chess position: 1r1qkb2/pbpp2p1/5p1r/1pP1p1nP/8/3Q2P1/PP1PPP2/RNB1KB1R w Q - 0 14. What special moves are available? Answer:,castling
Given chess position: rnbqk2r/p1pppp1p/2p3pb/8/1P6/4P3/P1PP1PPn/RNBQK1NR w KQkq - 2 7. What special moves are available? Answer:,castling
Given chess position: rn2k1nr/8/pqpp1ppp/1N2p3/3P3P/R3P2N/1PPKQPPR/2B2B2 w kq - 2 14. What special moves are available? Answer:,castling
Given chess position: rnb1k2r/pp1nbppp/3pp3/2pB4/2P5/1Q1P4/Pq2PP2/RNB1K1NR w KQkq - 0 12. Is the move d5e6 legal? Answer:,legal
Given chess position: rnbqkb1r/pppppp1p/6p1/8/2P1P1n1/3P4/PP1B1PPP/RN1QKBNR w KQkq - 0 6. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnbqkbn1/3pp1pr/2P5/p4P1p/7P/3P2P1/1PPN1P2/R1BQKBNR w KQq - 1 11. What special moves are available? Answer:,castling
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r1bq1knr/pp2p3/2nb4/2pp1pp1/3P2Pp/1P2NP1N/PRPBP1BP/3QKR2 w - - 4 15. Is the move f1g1 legal? Answer:,legal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1bqk2r/ppp5/n3pnpp/2bp4/3PP3/N1P2QpN/PP3PBP/R1B2RK1 b kq - 3 12. What special moves are available? Answer:,castling
Given chess position: r1bk1bn1/pnqp2p1/5p1r/1pp1p2Q/P2BPP1P/1P6/2PP1K1P/RN3BNR w - - 0 13. What special moves are available? Answer:,en passant
Given chess position: r2q2nr/p1pkpp1p/bpn3pb/3p4/2P2PP1/NP1PB3/P3P2P/R2QKBNR b KQ - 2 8. Is the move d8b8 legal? Answer:,legal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1bq1knr/p1p1p2p/2n2p1b/1p1p2p1/6P1/NPPPQ2N/P3PP1P/R1B1KB1R w KQ - 0 9. What special moves are available? Answer:,"castling, en passant"
Given chess position: 1nbqk1nr/1pp1pp2/r2p3p/p7/4PPPp/1P1R4/PbPPN3/RNBQKB2 b Qk - 3 9. Is the move a6a8 legal? Answer:,legal
Given chess position: rn1qkbn1/p1ppppr1/b7/1p3Ppp/4P1P1/N6B/PPPP3P/R1BQK1NR b KQq - 0 7. What special moves are available? Answer:,castling
Given chess position: rn3bnr/4pp1p/b1p1k1p1/QpPp4/3PPPq1/P7/1P1NN2P/R1B1KB1R b KQ - 0 12. What special moves are available? Answer:,castling
Given chess position: rnbqkb1r/1p1p1pp1/4p3/p1p4p/PPnP1P2/N5PB/R1QBP2P/4K1NR b Kkq - 1 12. What special moves are available? Answer:,castling
Given chess position: rnbqk3/p2pp3/2p2ppr/1p1n2Np/4P1P1/P2B1P2/1PPKQ2P/RNB4R w q - 0 14. Is the move e4d5 legal? Answer:,legal
Given chess position: r1b2bnr/1n1p1kp1/p2q4/2p2p1p/Pp1P1P1P/1P3NP1/2P1PK2/RN1Q1B1R w - - 1 16. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1bqkb1r/ppppp1pp/n6n/1P6/4P2P/5p2/P1PP1PP1/RNBQKBNR b KQkq - 0 6. Is the move a6b4 legal? Answer:,legal
Given chess position: rnb1kb1r/1p1pp2p/p4p1n/q1p3p1/2P4P/1P3P2/P2PP1P1/RNBQKBNR w KQkq - 2 8. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 1rbq1bnr/ppp2k1p/n2B4/3ppp2/3P2PP/N4N1B/PPP1PP2/RQ3RK1 w - - 0 12. What special moves are available? Answer:,en passant
Given chess position: rnb1k1nr/1ppp1ppp/8/p1b1p2q/6P1/PPPP3N/3QPP1P/RNB1KB1R w KQkq - 3 8. What special moves are available? Answer:,castling
Given chess position: rnbqkbnr/1p2p1p1/p2p1p2/2p1P2p/P7/2N5/1PPPNPPP/R1BQKB1R b KQkq - 1 6. What special moves are available? Answer:,castling
Given chess position: r1b1kb1r/p2pnp1p/npp3p1/2PPp3/1P2P3/q7/3Q1PP1/RNBK1BNR b kq - 1 11. What special moves are available? Answer:,castling
Given chess position: rnb1qbnr/pppkpp2/8/2Pp3p/3N1p2/1Q4PP/PP1PP3/RNB1KB1R w KQ - 0 9. What special moves are available? Answer:,"castling, en passant"
Given chess position: rnbk1bnr/ppp1p1pp/5p2/3q4/3PP3/2N5/PP1PNPPP/R1BQKB1R w KQ - 2 6. What special moves are available? Answer:,castling
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rn1qkbnr/p7/bppp1p1p/N3p1pP/1P6/2B2NP1/P1PPPP2/2RQKB1R b Kkq - 1 11. What special moves are available? Answer:,castling
Given chess position: rn1k1bbr/p1p1p1pp/8/PNqp4/1P4p1/2P2PnP/3PP1P1/R1BQKBR1 b - - 2 15. What special moves are available? Answer:,none
Given chess position: rnbqkbnr/1pp1pp2/8/1p1p2pp/2PP4/P3PP2/1P4PP/R1BQKBNR b KQkq - 0 7. What special moves are available? Answer:,castling
Given chess position: r2qkb2/p1p1pp1r/2n1bn2/1p4pp/8/2PBP3/PP1P1PPP/RQB1K1NR b KQq - 3 12. What special moves are available? Answer:,castling
Given chess position: rn2kbnr/pb1p3p/1pp5/6p1/P3Pp1P/4PPP1/1PqBK2N/RN1Q1B1R w kq - 1 13. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1k2bnr/p2p1p2/2n3pp/3p4/3P2P1/4BN1B/PPP4P/R2QK2R w KQ - 1 16. What special moves are available? Answer:,castling
Given chess position: rq2kbnr/p1p1p3/5p1p/3p2p1/p2PBP2/R3P1P1/nPP1K2P/1NBQ2R1 b kq - 3 15. Is the move a1h8 legal? Answer:,illegal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 1nbqkb2/1p2p2r/2p2n2/rP1p1pPp/p2P4/P1P1P1PN/5KBP/RNBQ3R b - - 1 14. What special moves are available? Answer:,none
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rn2kr2/1bp1q3/p3pppn/1pbp3p/2P4P/PPN2NP1/3PPPB1/R1BQK2R b Qq - 0 13. What special moves are available? Answer:,castling
Given chess position: rnbqkbnr/1pp1p1p1/8/p2p1p1p/3P3N/2P5/PP2PPPP/RNBQKBR1 w Qkq - 0 6. What special moves are available? Answer:,"castling, en passant"
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 1rbqk1nr/ppppp1b1/n5p1/5p1p/2PP2PP/7R/PPQKPP2/RNB2BN1 w k - 5 8. Is the move h3h2 legal? Answer:,legal
Given chess position: 1nbq1k1r/1pppNppQ/4p2n/r7/p1P5/b6P/PP1PPPP1/RNB1KB1R w KQ - 1 11. What special moves are available? Answer:,castling
Given chess position: 1rb1kbn1/ppp1ppp1/8/n2p4/1PNP3r/6q1/P1PBPPPP/R2QKB1R w KQ - 2 11. Is the move a1h8 legal? Answer:,illegal
Given chess position: 1rbqkb1r/pp1pn3/2n1pp1p/2p1P1p1/P2P1P1P/5N2/1PP2KP1/RNBQ1B1R w k - 2 15. What special moves are available? Answer:,castling
Given chess position: 2b2bn1/q1p1pppr/nrk4p/1p5N/p1P2P1P/P2PP3/1P1QN1PR/R1B1KB2 w Q - 8 14. What special moves are available? Answer:,castling
Given chess position: r5nr/ppp1kp2/7p/2Pp2N1/8/1P5b/nB1pPPPP/1R1K1BNR w - - 6 16. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnb1kb1r/pppp1p1p/2n1pqp1/1N6/1P6/4PQP1/P1PP1P1P/R1B1KBNR b KQkq - 2 6. What special moves are available? Answer:,castling
Given chess position: 2bqkb1r/2pp1pp1/r1n1p2n/1p4Bp/3P4/PpN2P1P/R1P1PKP1/3Q1BNR b - - 3 15. What special moves are available? Answer:,none
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rnbqkbnr/pp2pp1p/2p5/3p2p1/2P2P1P/5N2/PP1PP1P1/RNBQKBR1 b Qkq - 1 6. Is the move a1h8 legal? Answer:,illegal
Given chess position: rn1qkbnr/p1ppp1p1/2b4B/1p3p1p/3P4/N1P4N/PP2PP1P/R2QKB1R b KQkq - 3 8. What special moves are available? Answer:,castling
Given chess position: r4nnr/ppp1q1p1/2kb1p1p/3pp3/7P/P1PPKPPR/1P1BP3/RN1Q1BN1 w - - 3 14. Is the move a1h8 legal? Answer:,illegal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1b1kb1r/pppqBp1p/8/1P1p2p1/P2n2n1/3P1P2/2P1P1PP/RN1QKBNR w KQkq - 1 8. What special moves are available? Answer:,castling
Given chess position: rn1qkbnr/1pp1pppp/8/p7/3pP1Q1/2N3Pb/PPPP1PBP/R1B1K1NR b KQkq - 3 9. What special moves are available? Answer:,castling
Given chess position: rn1qkbnr/1bpppN2/7p/pp3pp1/1P3PP1/3P3B/P1P1P2P/RNBQK2R w KQkq - 0 10. Is the move c1a3 legal? Answer:,legal
Given chess position: r3qb1r/2p1pk1p/ppn2p2/3p1np1/3B3N/3P2PP/PPP2P2/RN1QKB1R w KQ - 0 12. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1bqkbr1/1ppppp1p/2n3p1/pB6/4P1QP/6PR/PPPP1P2/RNB1K1N1 w Qq - 2 7. What special moves are available? Answer:,castling
Given chess position: rn2kbnr/p1p1qp1p/3p2p1/1p2p3/1QP3bP/2NP4/PP1BPPP1/R3KBNR w KQkq - 0 8. Is the move c3d1 legal? Answer:,legal
Given chess position: rn2kbnr/p4p1p/b7/Pppp2p1/3Pp1PN/q1P1B3/1P1QPP1P/RN2KB1R b kq - 1 14. Is the move e8d8 legal? Answer:,legal
Given chess position: rnbqkbnr/p1pp1p2/8/1p2p2p/4P1pP/P5N1/1PPP1PP1/RNBQKB1R w KQkq - 0 6. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r2qkb1r/p1pn1ppp/n7/3p3P/1p1N2b1/3BP3/PPPP1PP1/RNBQK2R w KQkq - 6 10. What special moves are available? Answer:,castling
Given chess position: rnbq1b1r/pppkpp1p/8/P2p1np1/5B2/2PP3P/1P2PPP1/RN1QKBNR w KQ - 1 8. What special moves are available? Answer:,castling
Given chess position: r1b1kbnr/p2qpp1p/n2p2p1/1pp1N3/P3P3/6P1/NPPP1P1P/R1BQKB1R b KQkq - 2 7. Is the move a1h8 legal? Answer:,illegal
Given chess position: rn1qkbn1/p2b2p1/2p1p2r/1p5p/7P/P3B3/1PP1PPP1/RN2KBNR b KQq - 1 8. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1b2qnr/p3kp2/n3p2b/1ppp2pP/NP6/P2N3P/1BPPPPBR/R2QK3 b Q - 1 15. What special moves are available? Answer:,castling
Given chess position: r2q1bnr/1pk3p1/2n2p2/p1pppb1p/PP2PP2/N7/1RPPN1PP/2BQKB1R w K - 2 11. Is the move a3b1 legal? Answer:,legal
Given chess position: r1q2k1r/pbp1n3/1pnNQ1pb/1P3p1p/8/2P2N2/PB1PP1PP/3RKB1R w K - 2 15. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnb1kb2/2q1p1pr/1p3p1n/pp1p1PB1/3PP1Pp/8/PPP4P/RN1QK1NR w KQq - 1 13. Is the move e4d5 legal? Answer:,legal
Given chess position: r2qkbnr/pb1pp1pp/5p2/1pp5/Pn1N2P1/BP6/2PPPP1P/RN1QKB1R w KQkq - 1 7. What special moves are available? Answer:,castling
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r1b1kbnr/pp2pp2/1q5p/2p3p1/P1P1P3/R2PnN1P/1P3PPR/2BQKB2 w kq - 5 13. What special moves are available? Answer:,castling
Given chess position: rnbqkb1r/ppp3p1/3pp3/5pB1/3P2n1/2P5/PPQ1PPPP/RN2KBNR w KQkq - 4 7. What special moves are available? Answer:,castling
Given chess position: r3kb1r/p1pnqp1p/3pp1pn/8/b5P1/N2PP2P/PPP2P2/1RBK1BNR w kq - 5 14. Is the move a1h8 legal? Answer:,illegal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rn1qkbnr/1bp1p1p1/p4p2/1N1p3p/1P1B1PP1/P1PP3P/4P2R/R2QKBN1 w Qkq - 1 13. Is the move a1h8 legal? Answer:,illegal
Given chess position: 2rqkbn1/p1p1pb2/1p3NBr/2P3pp/3nP3/1Q3P2/PP1PN1PP/R1B1K2R b KQ - 0 12. What special moves are available? Answer:,castling
Given chess position: rnb1kbr1/3p1p1p/1pp1pn2/pN4p1/1PP2q1P/2QP1P2/P3P1P1/R1B1KBNR b KQq - 4 10. What special moves are available? Answer:,castling
Given chess position: rnbq1bnr/pppk2pp/4pp2/3p3P/8/3BP3/PPPP1PP1/RNBQKRN1 b Q - 2 9. Is the move a7a5 legal? Answer:,legal
Given chess position: r1bq1b1r/pppp1k1p/4p2n/4npp1/1P1P1PPP/4B3/P1P1P3/RN1QKBNR w KQ - 3 8. Is the move a1h8 legal? Answer:,illegal
Given chess position: rn2kbnr/p4ppp/1Pqp4/2p1p3/2R1P3/3B1PNb/NPPP2PP/2BQK2R b Kkq - 2 12. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1bqkb1r/p1pppp2/np6/3P2pp/2P5/Pn3N2/4PPPP/RNBQKBR1 b kq - 1 9. What special moves are available? Answer:,castling
Given chess position: rnb2bn1/1ppqp3/p1Qp1kpr/R4p1p/P1P4P/N2P4/1P2PPP1/R1B1KBN1 b Q - 6 13. What special moves are available? Answer:,castling
Given chess position: rnb3nr/1p1Qbkp1/4p2p/p1p1Bp2/P7/1P3P1P/R1P1PKP1/1N3BNR w - - 1 14. What special moves are available? Answer:,none
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1bqkbnr/pp2p3/3B3p/2np1pp1/8/1P1P2P1/P1PNPP1P/R2QKBNR w KQkq - 0 8. Is the move e2e3 legal? Answer:,legal
Given chess position: rnb1k1nr/2p1bp1p/3p4/pp2p1p1/3N2Pq/NP2P2P/P1PP1PB1/R1BQK2R b KQkq - 1 10. Is the move e5d4 legal? Answer:,legal
